"full_name","team","age","position","goals_overall","assists_overall"
"Bakhtiyar Duyshobekov","Kyrgyzstan",29,"Forward",0,0
"Beknaz Almazbekov","Kyrgyzstan",19,"Forward",0,0
"Bekzhan Sagynbaev","Kyrgyzstan",29,"Midfielder",0,0
"Christian Brauzman","Kyrgyzstan",20,"Defender",0,0
"Dastanbek Toktosunov","Kyrgyzstan",21,"Midfielder",0,0
"Ernest Batyrkanov","Kyrgyzstan",26,"Midfielder",0,0
"Erzhan Tokotaev","Kyrgyzstan",24,"Goalkeeper",0,0
"Farkhat Musabekov","Kyrgyzstan",30,"Midfielder",0,0
"Gulzhigit Alykulov","Kyrgyzstan",23,"Midfielder",0,0
"Kayrat Zhyrgalbek Uulu","Kyrgyzstan",31,"Midfielder",0,0
"Suiuntbek Mamyraliev","Kyrgyzstan",26,"Midfielder",0,0
"Sultan Chomoev","Kyrgyzstan",21,"Goalkeeper",0,0
"Tamirlan Kozubaev","Kyrgyzstan",30,"Defender",0,0
"Ali Al Haj","Lebanon",23,"Midfielder",0,0
"Ali Al Sabaa","Lebanon",30,"Goalkeeper",0,0
"Bassel Jradi","Lebanon",31,"Midfielder",1,0
"Hassan Maatouk","Lebanon",36,"Midfielder",0,0
"Hassan Saad Ali","Lebanon",31,"Forward",0,0
"Hassan Sameeh Chaitou","Lebanon",33,"Defender",0,0
"Hilal El-Helwe","Lebanon",29,"Forward",0,0
"Hussein Al Zain","Lebanon",29,"Defender",0,0
"Kassem Al Zein","Lebanon",33,"Defender",0,0
"Khalil Khamis","Lebanon",29,"Defender",0,0
"Maher Sabra","Lebanon",32,"Defender",0,0
"Mehdi Khalil","Lebanon",32,"Goalkeeper",0,0
"Mohamad Haidar","Lebanon",34,"Forward",0,0
"Mostafa Matar","Lebanon",28,"Goalkeeper",0,0
"Nassar Nassar","Lebanon",32,"Defender",0,0
"Nour Mansour","Lebanon",34,"Defender",0,0
"Omar Bugiel","Lebanon",27,"Forward",0,0
"Rayane Hamidou","Saudi_Arabia",22,"Midfielder",0,0
"Ahmad Khuzaimi bin Piee","Malaysia",30,"Defender",0,0
"Ahmad Syihan Hazmi Mohamed","Malaysia",28,"Goalkeeper",0,0
"Arif Aiman Hanapi","Malaysia",22,"Midfielder",1,0
"Brendan Gan Seng Ling","Malaysia",36,"Forward",0,0
"Daniel Sang Ting","Malaysia",31,"Defender",0,0
"Darren Yee Deng Lok","Malaysia",32,"Forward",0,0
"Dominic Tan Jun Jin","Malaysia",27,"Defender",0,0
"Matthew Davies","Malaysia",29,"Defender",0,0
"Mohamad Faisal bin Abdul Halim","Malaysia",26,"Midfielder",1,0
"Muhammad Afiq bin Fazail","Malaysia",29,"Midfielder",0,0
"Muhammad Akhyar Abd Rashid","Malaysia",25,"Midfielder",0,0
"Muhammad Azri Bin Abdul Ghani","Malaysia",25,"Goalkeeper",0,0
"Muhammad Syahmi bin Safari","Malaysia",26,"Midfielder",0,0
"Muhd Safawi Rasid","Malaysia",27,"Forward",0,0
"Putera Nadher Amarhan Maderner","Malaysia",32,"Midfielder",0,0
"Shahrul bin Mohd Saad","Malaysia",31,"Defender",0,0
"Sikh Izhan Nazrel bin Sikh Azhan","Malaysia",22,"Midfielder",0,0
